sha,subject,category,patch_applies,files_on_master,files_total
e631d7a02f3735f333268bf69ebcad66d7ed3665,"fix: remove duplicate function declarations from decomposition collision",irrelevant,false,4948,6778
9d09c33d7930fa750161d82db3256ba331dd326e,"fix: prevent temp file leaks from atomic writes on crash/interrupt",irrelevant,false,3,8
9dd4065f650071b2e5f2d0bb8922a1790e53adae,"fix: differentiate needs-review agents by synthesis recommendation",irrelevant,false,4,4
ff84a29a56b383ff2f8d6953ba3258cd3c41b0b6,"fix: resolve 7 test failures across cmd/orch and pkg/daemon",irrelevant,false,3,7
2d8e4c7ab6f54973608a68c25761697218797f8b,"fix: handle bare strings in extractHashFromBeadsID",irrelevant,false,1,2
d075d3397cc3111dac1e9b2533a1916a97734cc5,"fix: add dashboard health watchdog to daemon - auto-restarts when services die",irrelevant,false,2,6
dab0b34005d556ab0cd3c2418490d9b90875ab0f,"fix: change build gate default from permissive to restrictive",irrelevant,false,3,3
59551c0c3038cbe4f7a0ec702e75bb601c35da08,"fix: add TTL cache to graph endpoint to prevent bd limiter timeout",irrelevant,false,3,3
ff057df542118bd1b5897ad7897490cadab4dea1,"fix: state DB drift - upsert on respawn, session wiring, abandon safety, drift metrics",irrelevant,false,4,8
04b567e6b88b2c657274e8f3d31fdee283eb77f1,"fix: implement orch lint --skills command to unblock pre-commit hook",irrelevant,false,1,3
9f92ebcf6d72c89b7f44a29ce88c33a85ecdd2d0,"fix: add orch clean --processes to kill orphan bun processes",irrelevant,false,2,4
1c52a0be276040219c4fa9b5678b8f5678adf0ba,"fix: add singleflight dedup + concurrency limiter for bd subprocess stampede in serve",irrelevant,false,5,7
32689a4ba348727b9efa92673275e0ada565336c,"fix: add 15s timeout to build blame attribution — root cause of orch complete hang",irrelevant,false,1,2
23828fae64e6073550a2113357e18ac7f58443bf,"fix: add timeouts to all subprocess calls in orch complete path",irrelevant,false,4,5
ed80944fdab354e81a6b57fd48319b46afcc8d61,"fix: add bd subprocess concurrency limiter to prevent process stampede",irrelevant,false,2,5
11cd45e35579f8bb1b444b89e6e0d7538dfc7281,"fix: add retry limit and escalation to dead session detection",irrelevant,false,3,5
07426e29931127f28680bb9a13c6f079e7a974e0,"fix: show per-gate pass/fail details when orch complete verification fails",irrelevant,false,3,4
c1e831df293b60268adc57947b371aa9fec8eb8c,"fix: add synthesis completion recognition to prevent false daemon spawns",irrelevant,false,2,4
d5f9faec9d410ebebc86a1233837ffe900ebd076,"fix: change dedup error handling to fail-safe (assume exists) to prevent duplicate spawns",irrelevant,false,4,7
c80ba3664132375c58c06adf9493910f1cd08565,"fix: use Registry.Purge+SaveSkipMerge for cleanup writes to prevent data loss",irrelevant,false,2,3
a65c0f2cc72e83dd051de3e002b30a8eafd261f9,"fix: wire --registry flag into orch clean to remove untracked agents from registry",irrelevant,false,2,2
ba72bdeeae47329e8c82a9f4d852f81cbcc8d1ff,"fix: use CloseIssueForce in remaining close paths to bypass bd Phase: Complete gate",irrelevant,false,4,4
d7c583da9eefeaf74042f84195784ddeea4eb814,"fix: Update orch-dashboard restart to rebuild binary before restarting",irrelevant,false,6,15
9d5aff14b0db01261c72bd081edfc712969cedb0,"fix: make --skip-phase-complete bypass bd close's Phase: Complete gate",irrelevant,false,4,5
1f9d7b76e09a6c2e8fc02581f00443b70e000243,"fix: suppress 'no .beads directory' warnings during spawn",irrelevant,false,3,3
e3c748e406c4f7a9e7ae5ba4358220ad7e9998aa,"fix: wire --mcp flag to OpenCode API - connect MCP servers before spawn",irrelevant,false,4,4
16011d6ba74110e785370be716211a71b6f5500e,"fix: fetch open and in_progress issues separately to avoid bd AND filter",irrelevant,false,1,1
05696674bbb6efcc3daf0b83966447100a7e3454,"fix: exclude untracked agents from WIP section - prevents permanent 'Working...' display",irrelevant,false,4,4
7961d47d0de11c693661a321e793cdd8fb5c8c87,"fix: Add description field to Work Graph API and include in_progress issues",irrelevant,false,3,3
dafe7181d3fb40f340702541bc6ccba50baf5f72,"fix: restore focus to tree after close modal dismissal",irrelevant,false,2,2
f31dce817cf9760b8dab4b4761e6fe5460f31da2,"fix: add --force to CLI client CloseIssue for UI-based closes",irrelevant,false,2,2
04daab867479ec48e8e6c1c5af6b1580bffbe35a,"fix: set BEADS_NO_DAEMON=1 for close operation to match read operations",irrelevant,false,2,2
2a57096a9cb27957c3dd07290906951a171a6741,"fix: add DELETE to CORS allowed methods for focus API",irrelevant,false,2,2
a158b281d49783448d4ecb2e19ebc0c7d06f9431,"fix: spawn context now recommends orch-dashboard for orch-go workers",irrelevant,false,3,4
fa08bef9796397e0d8a688317f0645a09c0084b8,"fix: verification filter now only applies to recently-closed signals",irrelevant,false,2,3
0616f38798c4c726bbe68646ac1a5c2e6dd75605,"fix: align test expectations with implementation in pkg/spawn",irrelevant,false,4,4
3e67429a3395c4d6dc5f20241b7fc57f970bd548,"fix: remove obsolete session handoff tests and sync beads state",irrelevant,false,3,3
9c912e9c029b25e290258f0e06b3ed2afad5f525,"fix: Enable Enter key expansion for unverified completed issues",irrelevant,false,2,2
18f523a30d0abf4ff63492de09be34fb278d8ad1,"fix: add *.test cleanup to make clean target",irrelevant,false,2,2
47522cb67639959e35eeb08183e8cfea00bc9697,"fix: embed TLS certs via go:embed for self-contained binary",irrelevant,false,1,2
415e5533ad431f056816522dc0b62e868362fca9,"fix: prevent duplicate spawns via /api/agents check before spawn",irrelevant,false,2,4
5ceda7fd3c83bd41807fbd4889043b52b67fd96f,"fix: filter queued issues that have running agents from WIP display",irrelevant,false,3,3
d87ede04d107ded422cf0edf449c39a132058be4,"fix: filter /api/beads/ready to only return triage:ready issues",irrelevant,false,3,3
8c72e81c29f6fcdfa30e438bb1a8e933e8cd1e04,"fix: load verification state in GET /api/attention",irrelevant,false,2,3
9d2cdadfca5235dddd4060ceadf6a0949914ec29,"fix: resolve work graph duplicate key error and attention API JSON parse error",irrelevant,false,3,3
64aa99213a06f3b06845f7cef35a8092442c421c,"fix: initialize ProcessedIssueCache in daemon startup",irrelevant,false,2,2
6aa939f838995fbe2fe1f0e2106ab51b29800ec2,"fix: debounce only after first tree render completes",irrelevant,false,4,49
d81a7408c9feecde718c5d1e24ac0d3735ef7f00,"fix: add missing imports for DeliverableChecklist component",irrelevant,false,2,2
585c69e6e3dbb745b137a4bb7b966da146fac493,"fix: prevent work graph flip-flopping on orchestrator project switch",irrelevant,false,3,3
1070a880fa3356aeeb97c13217cc394ab1694909,"fix: prevent blue fade noise on project switch in Work Graph",irrelevant,false,2,2
e61778c04a3c92b042c67643067be17946afaaa6,"fix: preserve expansion state across rebuilds and fix highlight on children",irrelevant,false,3,4
8379d382417e62b6f28b318e86acadbc29310940,"fix: remove duplicate scrollbars on Work Graph page",irrelevant,false,2,2
e827bf4dad12a8ae43fa78c4d0bb920edf9a1657,"fix: prevent newIssueIds closure bug in reactive block",irrelevant,false,1,2
c58bcf5df95fb2229aed9c1a6e91f803055547c3,"fix: filter WIP queued issues by project context",irrelevant,false,3,3
1f35fbaaffdb40338741b27add075080e8cb5923,"fix: integrate WIP items into WorkGraphTree",irrelevant,false,3,3
d271c63b726bd89a6f97a61c83a80703515be153,"fix: make wip/daemon fetches non-blocking to prevent page hang",irrelevant,false,3,6
5e7cd2d54324ed47c5b4c71dfdc43291beca1e88,"fix: render tree even when only WIP items exist",irrelevant,false,1,3
8eee81af2dcac9029da797b3a64f94aab7a29a18,"fix: orch spawn --attach no longer steals terminal from orchestrator",still-relevant,true,1,1
b8cd0cfe356c9c610544639c7df87123d1b9555b,"fix: improve selection visibility with background + border (GREEN)",irrelevant,false,1,1
9b3db78ed724478d707401af42125daefbb5086a,"fix: add focus calls to work-graph keyboard navigation tests",irrelevant,false,2,10
dc8609907cfa9b443894caeb1338c1edd9addd15,"fix: manually rebuild flattened nodes on tree expansion toggle",irrelevant,false,3,64
391bec6a1dfb1ed3a7b833f36c98cab060caba0b,"fix: improve tree expansion reactivity and update tests",irrelevant,false,4,67
39d4ce7e263454d831f8bc0b8cb6f7088ad4396e,"fix: resolve Phase 1.1 interaction bugs (orch-go-21144, 21145, 21146)",irrelevant,false,4,642
48642f11bfd624369c3e31e9c9ec1a46e8238d6f,"fix: return empty arrays not null for frontier active/stuck",irrelevant,false,0,1
811989ddf9307c76336413795441c0a47bbeace5,"fix: improve work graph tree expansion and accessibility",irrelevant,false,1,1
1bc1957dfda3f39f5a0961d316f76d45e3b641df,"fix: use go test -run=^$ instead of go build for completion verification",irrelevant,false,2,3
2bddcc0f9c263810ede3f2c0a7c96e480baab1a4,"fix: recover Phase: Complete from ACTIVITY.json when bd comment fails to persist",irrelevant,false,5,5
2e6a7175e0f0e122e522e6f228944863d83ae16e,"fix: collect completion telemetry before session deletion",irrelevant,false,2,2
05c493552d2ee155b5566bd0beda0c554fe41179,"fix: filter daemon ready count by triage:ready label",irrelevant,false,3,4
1e9be62cb625fdb6982440daf546f0a480e1614a,"fix: orch status shows cross-project agents from other workers-* sessions",irrelevant,false,2,2
2861cb1b63693b6a32da3f457fcb17ff5c8349f7,"fix: decision gate fails closed on errors instead of open",irrelevant,false,4,10
18b840b52324daef6dca1b26b4438bb831bf6449,"fix: rename models/TEMPLATE.md to _TEMPLATE.md to exclude from kb context",irrelevant,false,2,2
6d0ce98a8842f15b26ce13ab140f87f843ac5682,"fix: set cmd.Dir in kb context queries for cross-project spawns",irrelevant,false,3,4
64af1e9cb1b59f3f37003cd9bb3f16ed6767f758,"fix: skip tmux select-window for daemon-driven spawns",irrelevant,false,3,3
c7a039a121b2819f2a280f9d6e7a44991a1e5ff8,"fix: prevent dashboard investigation tab from showing stale files",irrelevant,false,3,3
10e722c87000b424b66d63607af341abd81c4b7e,"fix: block closing epics with open children in orch complete",irrelevant,false,3,4
06fd3568fd3d2b2cf9d96dfe695c50da805092ed,"fix: auto-resume agents by reading .beads_id from workspace",irrelevant,false,4,4
929b84f1294622c61124f892705c18cdee330ef8,"fix: harden orch deploy when OpenCode already running on port 4096",irrelevant,false,2,2
c4876a52b2e11f52522c04a3620ea597cc4f712f,"fix: skip redundant auto-rebuilds in orch complete when binary is current",irrelevant,false,2,2
ea17e064e61a66ebef65b81bc6d2ad24045e65ee,"fix: remove triage:ready label on abandon to prevent daemon respawn",irrelevant,false,2,2
1b9e9f67bf410424bcd4db797454ef6d0b2e0403,"fix: filter untracked sessions from default orch status output",irrelevant,false,2,2
922b55036a8ca34ad67d92cf364e62dfddb95aa9,"fix: render markdown in activity feed text/reasoning events",irrelevant,false,2,2
e2268cb64db5011b3c06c8dcf6bd02f06d1c0783,"fix: add external_directory permissions for global paths (~/.kb, ~/.claude) to gpt_orchestrator",irrelevant,false,2,2
17877ddbdfa76ff48def13d5cecd6bfdc3c886f2,"fix: populate MODEL field in orch status and dashboard API",irrelevant,false,6,6
645d7590154bf527330bf5a36a9556337b57c5eb,"fix: add bare command patterns to gpt_orchestrator bash permissions",irrelevant,false,2,2
d7e5da0e71d8f9bc8ccf48d9c9394247afc55695,"fix: correct future-dated investigation filename (2027-01-27 → 2026-01-27)",irrelevant,false,1,2
11356ccdcea85d2dac005c2ddeb6eea16d779f49,"fix: add 'question' issue type to skill inference",irrelevant,false,2,3
ac1689562c0511cb262768c00b6d0e81b1d151cd,"fix: prevent template placeholders from corrupting workspace cache beads ID lookup",irrelevant,false,4,5
cc06ca358232da78d76def6c9db83242272df8e6,"fix: rollback beads status to open when daemon spawn fails",irrelevant,false,7,10
851ac02e98a10234cd43ddc28c9dd466bf8d0a73,"fix: store args from tool.execute.before for use in after hook",irrelevant,false,1,1
ea1a013fc6bd2e72a09c8159b4d333db4b012b82,"fix: update session metadata when orchestrator skill detected",irrelevant,false,1,2
3f46af496d79ce98defc5b740550fdccf0edd729,"fix: daemon server recovery detects each restart, not just first",irrelevant,false,5,5
8b4be5cfc0f90ee0552f1cca64b8c1cfe7f12d11,"fix: dashboard project filter matches both beads prefix and directory name",irrelevant,false,4,4
8b53dd3203479be30c6c3f140705d26f7ebc9cad,"fix: Add --limit 0 to FallbackList() to find all open issues",irrelevant,false,2,3
beab871ab6174cfe2ac2ad807fb2feee8e47e116,"fix: make session ID parser robust to npm warnings in stdout",irrelevant,false,3,3
0fd788f4ba3aaad13a7a61e8ffe2ff8eeafa0091,"fix: eliminate duplicate hotspot warning in spawn command",irrelevant,false,1,1
08eae65f26f0a1f5ae66a280d9182d18e1f4a209,"fix: move Phase: Complete check before status-specific spawn logic",irrelevant,false,2,3
d58860d256023cfe57ca5ff5d7a5bf3829ba370d,"fix: treat beads lookup errors as closed to prevent capacity leaks",irrelevant,false,1,3
580d00204c4104b7320d66d73ace12ac981cfada,"fix: Docker memory limits + daemon cross-project handling",irrelevant,false,1,3
b99b573e6575ba31a454d74ed1bc45d575c6c8e8,"fix: Docker OOM crashes + daemon capacity tracking + beads corruption model",irrelevant,false,2,6
e869b43c5caa1b2b37c798a6de958300562919a8,"fix: Docker backend stuck at Tinkering - use stdin redirection",irrelevant,false,1,3
b8de8846d43724dd3c3e04d16c1092a51f64c90a,"fix: add Go to Docker image for auto-rebuild hooks",irrelevant,false,1,2
6fa627c531d445f97c2dd829aa1579f7c433905b,"fix: detect agent activity via tmux pane for tmux-based agents",irrelevant,false,3,4
3bd26bb5d42d8ece54f8b396a3159188409ec839,"fix: model stack knowledge hygiene - supersede old decisions + create current state reference",irrelevant,false,2,5
9bf692454d372cb64d7d71250ed00f764a0faf29,"fix: pass workdir through resolveShortBeadsID for cross-project spawns",irrelevant,false,6,7
fef5879e507834dae84659b5d76361429d3b2afe,"fix: backend selection priority and cross-compile for docker",irrelevant,false,11,171
7fd0b7fcbc78cd3026e4dab0928818766a679fb4,"fix: exclude untracked sessions from concurrency limit check",irrelevant,false,2,4
42027eb21d4ba99147a89efb6b04f4dbe66e8d21,"fix: make systematic-debugging spawn as light tier",irrelevant,false,3,5
0ed7eecb2638828ebb83817f7ca67bf0318b417c,"fix: don't default project spawn_mode so global config is respected",irrelevant,false,43,519
8fc3deff5d7b53ae1faa4ef2d33d5599c46d9a4c,"fix: respect docker backend in global/project config",irrelevant,false,0,4
f3cbec5556f503eccea7128cc8b22389b40171a2,"fix: improve error messages for tmux session creation",irrelevant,false,1,2
dc9f88067010b6ce6ed966da181a343387ae7515,"fix: respect spawn_mode config over infrastructure gate",irrelevant,false,3,5
3caef72dfb533868e558b7739db0e451c78c90bf,"fix: respect spawn_mode 'opencode' config value",irrelevant,false,2,10
22ae4dbefeb8eee9bb097861b9c3c689491d74a3,"fix: prevent stale handoff injection after explicit session end",irrelevant,false,3,11
79a8102898c6bf751f1c71ebdea9e0d2ce6a2a0e,"fix: set status=in_progress before spawning to prevent respawn loops",irrelevant,false,2,2
708aa56efb80f63a315905dfd82438f308203cc0,"fix: use tmuxCommand() helper for all tmux operations",irrelevant,false,3,11
acc668c9183c3fdabfb87cdb0fa2d220fdbe578d,"fix: change default model from sonnet to opus (Max subscription)",irrelevant,false,3,3
